time,open,high,low,close,volume,FINANCIAL_PRODUCT,MARKET_PERCEPTION,LEADERSHIP,DIGITAL_BANKING,MACRO_REGULATION,SERVICE,FINANCIAL_FEE
2025-03-27,65.38,65.48,65.08,65.08,901500,0.8353,0.8545,0.7646,1.0,0.5429,-0.84,0.0
2025-03-28,65.08,65.28,64.38,64.38,1650600,0.8628,0.8364,0.6039,1.0,0.5429,-0.88,0.0
2025-03-31,64.28,64.78,63.59,63.59,1771900,0.8628,0.8364,0.6039,1.0,0.5429,-0.88,0.0
2025-04-01,64.28,64.88,63.59,64.08,1715200,0.8628,0.8364,0.6039,1.0,0.5429,-0.88,0.0
2025-04-02,64.58,65.57,64.18,64.38,2330700,0.8628,0.8364,0.6039,1.0,0.5429,-0.88,0.0
2025-04-03,63.59,63.99,59.91,59.91,9806100,0.8628,0.8364,0.6039,1.0,0.5429,-0.88,0.0
2025-04-04,56.33,59.61,55.84,59.61,11887700,0.8628,0.8364,0.6039,1.0,0.5429,-0.88,0.0
2025-04-08,59.41,59.41,55.44,55.44,7181200,0.8267,0.6773,0.5747,1.0,0.5429,-0.88,0.0
2025-04-09,51.67,59.32,51.67,52.16,8995800,0.8267,0.6773,0.5747,1.0,0.5429,-0.88,0.0
2025-04-10,55.74,55.74,55.74,55.74,174400,0.7084,0.6811,0.5747,1.0,0.4286,-0.88,0.0
2025-04-11,59.41,59.51,57.63,59.41,8059500,0.6985,0.6811,0.5039,1.0,0.2,-0.88,0.0
2025-04-14,59.61,59.61,58.32,58.92,3619500,0.6985,0.6811,0.5039,1.0,0.2,-0.88,0.0
2025-04-15,58.72,60.51,57.92,59.61,5633100,0.6985,0.6811,0.5039,1.0,0.2,-0.88,0.0
2025-04-16,59.32,59.91,58.62,58.92,2625800,0.6985,0.6811,0.5039,1.0,0.2,-0.88,0.0
2025-04-17,58.92,58.92,57.73,57.73,3151800,0.6678,0.6811,0.4046,0.0,0.2,-0.84,0.0
2025-04-18,58.32,59.22,57.73,57.73,2165400,0.6678,0.6811,0.4046,0.0,0.2,-0.84,0.0
2025-04-21,58.12,58.52,57.73,57.83,1290500,0.6302,0.6811,0.3167,0.0,0.2,-0.76,0.0
2025-04-22,57.73,58.42,54.35,58.12,3850700,0.6302,0.6811,0.3167,0.0,0.2,-0.76,0.0
2025-04-23,59.02,59.02,57.63,57.63,1928700,0.6302,0.6811,0.3167,0.0,0.2,-0.76,0.0
2025-04-24,57.83,58.22,57.63,57.83,1861200,0.6447,0.6014,0.4967,0.0,0.2,-1.0,0.0
2025-04-25,57.83,58.62,57.13,57.13,3682000,0.6447,0.6014,0.4967,0.0,0.2,-1.0,0.0
2025-04-28,57.33,57.92,57.13,57.13,1654600,0.6447,0.6014,0.4967,0.0,0.2,-1.0,0.0
2025-04-29,57.33,58.12,56.93,56.93,2432200,0.6226,0.5655,0.4,0.0,0.2,-1.0,0.0
2025-05-05,57.13,57.63,56.63,56.73,2101500,0.6226,0.5655,0.4,0.0,0.2,-1.0,0.0
2025-05-06,56.93,57.63,56.63,56.63,2992900,0.6226,0.5655,0.4,0.0,0.2,-1.0,0.0
2025-05-07,56.73,57.13,56.63,56.63,2415400,0.6226,0.5655,0.4,0.0,0.2,-1.0,0.0
2025-05-08,57.03,57.33,56.53,56.73,3022300,0.6226,0.5655,0.4,0.0,0.2,-1.0,0.0
2025-05-09,56.93,57.23,56.24,56.24,5827400,0.6226,0.5655,0.4,0.0,0.2,-1.0,0.0
2025-05-12,56.63,56.93,55.84,56.24,5992500,0.6226,0.5655,0.4,0.0,0.2,-1.0,0.0
2025-05-13,56.73,56.93,56.24,56.43,7392600,0.6226,0.5655,0.4,0.0,0.2,-1.0,0.0
2025-05-14,56.83,58.42,56.83,58.32,8014200,0.6226,0.5655,0.4,0.0,0.2,-1.0,0.0
2025-05-15,58.92,59.41,58.32,58.32,8070600,0.4968,0.4483,0.7,0.0,0.2,0.0,0.0
2025-05-16,58.42,58.62,57.13,57.13,8364800,0.4968,0.4483,0.7,0.0,0.2,0.0,0.0
2025-05-19,57.03,57.23,56.63,56.63,4784400,0.4968,0.4483,0.7,0.0,0.2,0.0,0.0
2025-05-20,56.63,57.03,56.43,56.73,3867000,0.4968,0.4483,0.7,0.0,0.2,0.0,0.0
2025-05-21,57.13,57.53,56.63,56.73,5161800,0.4968,0.4483,0.7,0.0,0.2,0.0,0.0
2025-05-22,56.73,57.03,56.53,56.53,3694300,0.4968,0.4483,0.7,0.0,0.2,0.0,0.0
2025-05-23,56.53,57.13,56.33,56.43,3546500,0.44,0.6966,1.0,0.0,0.2,0.0,0.0
2025-05-26,56.53,56.63,55.64,56.63,4728300,0.44,0.6966,1.0,0.0,0.2,0.0,0.0
2025-05-27,56.43,56.83,56.33,56.43,5548900,1.0,0.0,1.0,1.0,0.0,0.2,0.0
2025-05-28,56.73,57.23,56.43,56.43,4950200,1.0,0.0,1.0,1.0,0.0,0.2,0.0
2025-05-29,56.83,56.83,56.33,56.33,3904500,1.0,0.0,1.0,1.0,0.0,0.2,0.0
2025-05-30,56.43,56.53,56.04,56.04,3934000,1.0,0.0,1.0,1.0,0.0,0.2,0.0
2025-06-02,56.14,56.14,55.74,55.84,3225700,1.0,0.0,1.0,1.0,0.0,0.2,0.0
2025-06-03,56.33,56.53,56.04,56.43,3364000,1.0,0.0,1.0,1.0,0.0,0.2,0.0
2025-06-04,56.53,56.63,56.14,56.24,2690500,1.0,0.0,1.0,1.0,0.0,0.2,0.0
2025-06-05,56.33,56.43,55.94,55.94,2783100,1.0,0.0,1.0,1.0,0.0,0.2,0.0
2025-06-06,55.94,56.24,55.74,55.74,2531900,1.0,0.0,1.0,1.0,0.0,0.2,0.0
2025-06-09,55.84,56.04,55.54,55.54,2223900,1.0,0.0,1.0,1.0,0.0,0.2,0.0
2025-06-10,55.64,55.84,55.54,55.54,2231400,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2025-06-11,55.84,55.84,55.34,55.34,2295800,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2025-06-12,55.64,55.74,55.34,55.64,2560800,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2025-06-13,55.54,56.73,55.24,55.84,5364900,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2025-06-16,55.84,56.33,55.84,56.24,4336600,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2025-06-17,56.53,57.13,56.43,56.83,5159800,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2025-06-18,56.83,56.93,56.14,56.33,3421100,0.0,0.0,1.0,1.0,0.0,0.2,0.0
2025-06-19,56.33,56.63,56.14,56.24,2368700,0.0,0.0,1.0,1.0,0.0,0.6,0.0
2025-06-20,56.33,56.83,56.14,56.73,6886500,0.0,0.0,1.0,1.0,0.0,0.6,0.0
2025-06-23,56.33,56.53,56.14,56.24,2480600,0.0,0.0,1.0,1.0,0.0,0.6,0.0
2025-06-24,56.53,56.73,56.24,56.24,3507600,0.0,0.0,1.0,1.0,0.0,0.6,0.0
2025-06-25,56.43,56.53,56.24,56.24,2739800,0.0,0.0,1.0,1.0,0.0,0.6,0.0
2025-06-26,56.33,56.43,56.04,56.04,2842900,0.0,0.0,1.0,1.0,0.0,0.6,0.0
2025-06-27,56.24,56.93,56.04,56.33,4082600,0.0,0.0,1.0,1.0,0.0,0.6,0.0
2025-06-30,56.63,56.83,56.53,56.63,2952200,0.0,0.0,1.0,1.0,0.0,0.6,0.0
2025-07-01,56.83,58.42,56.73,57.83,10049500,0.0,0.0,1.0,1.0,0.0,0.6,0.0
2025-07-02,57.92,58.22,57.33,57.63,2913600,0.0,0.0,1.0,1.0,0.0,0.6,0.0
2025-07-03,57.73,58.42,57.33,57.53,7395300,0.0,0.0,1.0,1.0,0.0,0.6,0.0
2025-07-04,57.53,58.42,57.43,58.02,4849800,0.0,0.0,1.0,1.0,0.0,0.6,0.0
2025-07-07,58.12,58.52,57.83,58.22,8056200,0.0,0.0,1.0,1.0,0.0,0.6,0.0
2025-07-08,58.42,59.12,58.22,58.62,10394500,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2025-07-09,59.02,61.4,59.02,61.1,16449700,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2025-07-10,61.4,61.4,60.61,61.0,8152900,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2025-07-11,61.1,62.69,61.1,62.3,12701900,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2025-07-14,62.49,62.49,60.61,62.0,6475000,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2025-07-15,62.0,62.2,61.0,61.0,6315400,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2025-07-16,61.0,61.7,60.71,61.4,7603200,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2025-07-17,61.4,62.3,61.4,61.8,9992700,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2025-07-18,61.9,62.2,61.4,61.5,6915300,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2025-07-21,61.8,62.3,60.91,60.91,6138200,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2025-07-22,60.91,61.8,60.51,61.8,4902600,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2025-07-23,62.1,62.2,61.4,61.7,5087300,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2025-07-24,61.8,63.09,61.5,61.7,8710200,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2025-07-25,61.7,62.1,61.5,61.6,4978400,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2025-07-28,61.8,62.59,61.7,62.4,10484700,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2025-07-29,62.79,62.79,60.61,60.61,10595600,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2025-07-30,60.61,61.5,60.01,60.51,7271000,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2025-07-31,61.1,61.3,59.71,59.81,6066900,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2025-08-01,59.91,60.21,59.32,59.81,4751600,1.0,0.0,1.0,0.9512,0.0,0.6,1.0
2025-08-04,59.71,61.0,59.61,60.71,4462400,1.0,0.0,1.0,0.9512,0.0,0.6,1.0
2025-08-05,61.1,63.29,60.81,61.1,18590000,1.0,0.0,1.0,0.9512,0.0,0.6,1.0
2025-08-06,61.7,62.4,61.5,61.9,4677500,1.0,0.0,1.0,0.9512,0.0,0.6,1.0
2025-08-07,62.49,62.49,60.91,61.3,9498700,1.0,0.0,1.0,0.9512,0.0,0.6,1.0
2025-08-08,61.8,62.89,61.2,61.5,10679800,1.0,0.0,1.0,0.9512,0.0,0.6,1.0
2025-08-11,61.7,62.79,61.7,62.1,7266300,1.0,0.1333,0.6,0.9512,0.2,0.6,1.0
2025-08-12,62.4,64.38,62.3,62.59,12129000,1.0,0.1333,0.6,0.9512,0.2,0.6,1.0
2025-08-13,63.09,63.19,61.6,62.1,7519800,1.0,0.1333,0.6,0.9512,0.2,0.6,1.0
2025-08-14,63.29,65.87,62.89,64.78,19003100,1.0,0.1333,0.6,0.9512,0.2,0.6,1.0
2025-08-15,66.97,67.07,63.79,63.89,16667800,1.0,0.1333,0.6,0.9512,0.2,0.6,1.0
2025-08-18,64.38,65.18,63.59,64.08,8297300,1.0,0.1333,0.6,0.9512,0.2,0.6,1.0
2025-08-19,64.08,64.98,63.79,63.79,9191400,1.0,0.1333,0.6,0.9512,0.2,0.6,1.0
2025-08-20,64.08,64.18,61.8,62.59,10537600,1.0,0.1333,0.6,0.9512,0.2,0.6,1.0
2025-08-21,62.89,64.58,62.89,63.79,9639300,1.0,0.5667,0.6,0.9512,0.5333,0.2,1.0
2025-08-22,63.59,66.77,63.29,64.18,18944300,1.0,0.3111,0.6,0.9512,0.5333,0.2,1.0
2025-08-25,65.38,65.38,62.99,63.19,7750800,1.0,0.3111,0.6,0.9512,0.5333,0.2,1.0
2025-08-26,63.19,64.58,62.49,64.18,7988400,1.0,0.3111,0.6,0.9512,0.5333,0.2,1.0
2025-08-27,64.58,68.65,64.58,68.65,31048100,0.938,0.3693,0.7333,0.9675,0.4862,0.2,1.0
2025-08-28,69.05,70.15,68.26,68.56,8799400,0.8519,0.4554,0.7333,0.9675,0.4862,0.2,1.0
2025-08-29,68.75,69.65,68.06,68.16,14696100,0.8519,0.4554,0.7333,0.9675,0.4862,0.2,1.0
2025-09-03,68.36,68.36,66.57,66.57,14216900,0.8519,0.4554,0.7333,0.9675,0.4862,0.2,1.0
2025-09-04,67.07,68.56,66.47,68.46,8942100,0.8519,0.4554,0.7333,0.9675,0.4862,0.2,1.0
2025-09-05,69.05,69.15,67.07,67.07,11047800,0.8519,0.4554,0.7333,0.9675,0.4862,0.2,1.0
2025-09-08,66.67,67.07,64.88,64.88,11249800,0.8519,0.4554,0.7333,0.9675,0.4862,0.2,1.0
2025-09-09,65.08,65.77,64.08,64.48,6192300,0.8519,0.4033,0.7333,0.9675,0.4147,0.2,1.0
2025-09-10,65.18,65.57,64.38,65.38,5006400,0.8519,0.4033,0.7333,0.9675,0.4147,0.2,1.0
2025-09-11,65.18,65.57,63.79,65.28,6349100,0.8519,0.4033,0.7333,0.9675,0.4147,0.2,1.0
2025-09-12,65.77,65.77,64.58,65.38,5694200,0.8519,0.4033,0.7333,0.9675,0.4147,0.2,1.0
2025-09-15,65.57,65.57,65.08,65.38,5367400,0.8519,0.4033,0.7333,0.9675,0.4147,0.2,1.0
2025-09-16,65.57,66.17,65.18,65.18,6765400,0.8149,0.4033,0.7333,1.0,0.4147,0.2,0.0
2025-09-17,65.08,65.38,64.38,64.38,5627200,0.8149,0.4033,0.7333,1.0,0.4147,0.2,0.0
2025-09-18,64.48,64.48,63.19,63.49,8783400,0.8149,0.4033,0.7333,1.0,0.4147,0.2,0.0
2025-09-19,63.79,64.08,62.59,62.59,6932700,0.6759,0.4543,0.8,1.0,0.4147,0.2,0.0
2025-09-22,62.59,62.79,61.4,61.6,6061300,0.6759,0.4543,0.8,1.0,0.4147,0.2,0.0
2025-09-23,62.0,62.69,61.8,61.8,3267800,0.6759,0.4543,0.8,1.0,0.4147,0.2,0.0
2025-09-24,62.0,62.3,61.4,62.3,3879200,0.6759,0.5078,1.0,1.0,0.4862,0.2,0.0
2025-09-25,62.89,62.99,62.3,62.59,3870300,0.7188,0.4638,1.0,1.0,0.4862,0.2,0.0
2025-09-26,62.79,62.99,62.49,62.59,3981900,0.7076,0.4638,1.0,1.0,0.4862,0.2,0.0
2025-09-29,62.49,62.49,62.0,62.2,2782900,0.7076,0.4638,1.0,1.0,0.4862,0.2,0.0
2025-09-30,62.4,62.49,61.4,61.6,4104100,0.7076,0.4638,1.0,1.0,0.4862,0.2,0.0
2025-10-01,62.3,62.3,61.6,62.0,3022000,0.7219,0.4808,1.0,1.0,0.6147,0.2,0.0
2025-10-02,62.0,62.69,61.7,61.7,3657500,0.7219,0.4808,1.0,1.0,0.6147,0.2,0.0
2025-10-03,62.0,62.0,61.4,61.7,2821100,0.7219,0.4808,1.0,1.0,0.6147,0.2,0.0
2025-10-06,62.8,64.0,62.8,64.0,7461700,0.6822,0.4067,1.0,1.0,0.5307,0.2,0.0
2025-10-07,64.1,64.1,63.3,63.7,4229300,0.6292,0.5078,1.0,1.0,0.5307,0.2,0.0
2025-10-08,64.2,64.9,63.6,64.6,8113800,0.6822,0.5078,1.0,1.0,0.648,0.2,0.0
2025-10-09,64.5,65.2,63.8,63.8,5734200,0.6822,0.5078,1.0,1.0,0.648,0.2,0.0
2025-10-10,63.9,64.4,63.6,64.2,4985600,0.6705,0.5006,1.0,0.0,0.7333,0.2,0.0
2025-10-13,63.4,63.8,62.8,63.1,7992500,0.7031,0.4257,1.0,0.0,0.7333,0.2,0.0
2025-10-14,63.5,64.0,62.9,63.1,7008900,0.7526,0.5006,1.0,1.0,0.7333,0.2,0.0
2025-10-15,63.1,63.4,62.5,62.5,5218800,0.7526,0.5006,1.0,1.0,0.7333,0.2,0.0
2025-10-16,62.7,63.0,62.5,62.9,4634400,0.7526,0.5006,1.0,1.0,0.7333,0.2,0.0
2025-10-17,62.9,62.9,61.8,61.9,5405900,0.7526,0.5006,1.0,1.0,0.7333,0.2,0.0
2025-10-20,61.8,62.2,58.6,59.4,12115600,0.7526,0.5006,1.0,1.0,0.7333,0.2,0.0
2025-10-21,59.7,60.7,59.3,59.3,8416700,0.7526,0.59,1.0,1.0,1.0,0.2,0.0
2025-10-22,60.1,60.2,58.5,59.6,4664800,0.7526,0.59,1.0,1.0,1.0,0.2,0.0
2025-10-23,58.9,60.3,58.9,59.8,4227100,0.7526,0.59,1.0,1.0,1.0,0.2,0.0
2025-10-24,59.8,59.9,58.8,59.5,4372700,0.7526,0.59,1.0,1.0,1.0,0.2,0.0
2025-10-27,60.0,60.0,59.2,59.2,2640000,0.7526,0.59,1.0,1.0,1.0,0.2,0.0
2025-10-28,59.2,60.2,59.1,60.0,2789700,0.7526,0.59,1.0,1.0,1.0,0.2,0.0
2025-10-29,60.0,61.0,59.8,60.7,3716000,0.7526,0.59,1.0,1.0,1.0,0.2,0.0
2025-10-30,61.0,61.2,60.3,60.6,1946600,0.7526,0.59,1.0,1.0,1.0,0.2,0.0
2025-10-31,60.8,60.8,59.6,59.6,2117800,0.8791,0.5333,1.0,1.0,1.0,0.2,0.0
2025-11-03,60.0,60.3,59.3,59.3,2800100,0.8791,0.5333,1.0,1.0,1.0,0.2,0.0
2025-11-04,59.2,60.4,59.1,60.1,2952400,0.8791,0.5333,1.0,1.0,1.0,0.2,0.0
2025-11-05,60.0,61.1,59.9,60.8,4601700,0.8791,0.5333,1.0,1.0,1.0,0.2,0.0
2025-11-06,60.9,61.3,60.2,60.3,2821200,0.8656,0.7,1.0,1.0,1.0,0.2,0.0
2025-11-07,60.0,60.0,59.0,59.3,3586300,0.9407,0.7,1.0,1.0,1.0,0.2,0.0
2025-11-10,59.4,59.7,58.8,58.8,2316500,0.9407,0.7,1.0,1.0,1.0,0.2,0.0
2025-11-11,59.1,59.6,58.8,58.9,2540900,0.9407,0.7,1.0,1.0,1.0,0.2,0.0
2025-11-12,59.1,59.7,59.0,59.5,2012700,1.0,0.8,1.0,1.0,1.0,0.0,0.0
2025-11-13,59.5,60.0,59.2,59.8,2113500,0.8865,0.8,1.0,1.0,1.0,0.0,1.0
2025-11-14,59.8,60.4,59.4,60.0,2069600,0.8865,0.8,1.0,1.0,1.0,0.0,1.0
2025-11-17,60.0,60.4,59.9,60.2,1585600,0.8865,0.8,1.0,1.0,1.0,0.0,1.0
2025-11-18,60.4,60.4,59.8,59.9,2158800,0.8865,0.8,1.0,1.0,1.0,0.0,1.0
2025-11-19,59.9,60.1,59.3,59.4,2896200,0.8298,0.8,1.0,1.0,0.0,0.0,1.0
2025-11-20,59.6,59.7,59.2,59.4,2259400,0.8298,0.8,1.0,1.0,0.0,0.0,1.0
2025-11-21,59.1,59.2,58.7,59.0,3452400,0.8298,0.8,1.0,1.0,0.0,0.0,1.0
2025-11-24,59.0,59.3,58.7,58.8,2025600,0.8298,0.8,1.0,1.0,0.0,0.0,1.0
2025-11-25,58.9,59.0,58.2,58.2,2755000,0.6596,0.0,0.0,0.0,0.0,0.0,1.0
2025-11-26,58.5,58.6,57.8,58.1,5371200,0.6596,0.0,0.0,0.0,0.0,0.0,1.0
2025-11-27,58.2,58.5,57.9,57.9,3113500,0.6596,0.0,0.0,0.0,0.0,0.0,1.0
2025-11-28,58.0,58.1,57.4,57.4,3534300,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-01,57.6,58.0,57.5,57.5,2824900,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-02,57.5,57.8,57.2,57.6,3185600,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-03,57.8,59.1,57.8,58.9,6161200,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-04,59.0,59.4,58.7,58.9,2923100,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-05,59.0,59.2,58.2,58.3,3604700,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-08,58.2,58.3,57.8,57.9,2141500,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-09,57.9,58.7,57.3,58.0,4519400,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-10,58.3,58.6,57.8,58.2,3082500,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-11,58.4,58.4,57.6,57.6,1746700,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-12,57.8,57.8,56.8,56.8,4847700,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-15,56.8,57.3,56.7,56.8,3203100,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-16,56.9,57.4,56.0,56.9,6346800,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-17,57.0,57.5,56.7,56.7,2331200,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-18,57.2,57.5,56.7,56.8,3075800,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-19,57.0,57.5,56.7,57.5,4265500,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-22,57.7,58.0,57.3,57.8,2961200,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-23,57.8,58.1,57.0,57.2,3147900,0.6596,0.0,0.0,1.0,0.0,1.0,1.0
2025-12-24,57.3,57.3,56.9,57.0,4431500,0.3298,0.337,0.4667,1.0,0.0,1.0,1.0
2025-12-25,57.0,57.9,57.0,57.1,3968100,0.0,0.337,0.4667,1.0,0.0,1.0,0.0
2025-12-26,57.1,57.4,56.6,57.1,3302500,0.0,0.337,0.4667,1.0,0.0,1.0,0.0
2025-12-29,57.4,57.5,57.1,57.1,2099700,0.3714,0.6685,0.5733,1.0,0.0,1.0,0.0
2025-12-30,57.3,58.1,57.2,57.3,2958000,0.3714,0.6685,0.5733,1.0,0.0,1.0,0.0
